symbol,bid,ask,24h volume($),status
ARPABNB,0.00020170,0.00020260,341.83,Trading
GALABNB,0.00006627,0.00006659,338.29,Trading
AAVEETH,0.04687000,0.04691000,316.33,Trading
BAKEBNB,0.00056880,0.00057690,307.74,Trading
MASKBNB,0.01260000,0.01263000,297.25,Trading
ADAETH,0.00015640,0.00015650,297.24,Trading
WOOBNB,0.00091900,0.00092100,267.28,Trading
MINABTC,0.00002080,0.00002082,265.90,Trading
DOGEBTC,0.00000194,0.00000195,265.22,Trading
HBARBNB,0.00022690,0.00022730,256.01,Trading
WBTCETH,19.00000000,19.06000000,245.26,Trading
FILETH,0.00213700,0.00214000,244.96,Trading
LTCBTC,0.00202500,0.00202600,243.19,Trading
XLMBNB,0.00050720,0.00050780,238.72,Trading
POWRETH,0.00017470,0.00017570,237.00,Trading
CHZBNB,0.00029020,0.00029130,232.65,Trading
ENSBNB,0.03394000,0.03404000,230.10,Trading
BSWBNB,0.00028170,0.00028220,227.00,Trading
GMTBNB,0.00071400,0.00071600,221.21,Trading
ARBETH,0.00049730,0.00049830,215.36,Trading
XMRBTC,0.00469800,0.00470200,209.26,Trading
OCEANBNB,0.00139400,0.00140000,206.08,Trading
VETETH,0.00001040,0.00001042,198.75,Trading
CHRBNB,0.00045120,0.00045390,196.18,Trading
TRXBTC,0.00000273,0.00000274,195.77,Trading
OPETH,0.00077100,0.00077200,192.84,Trading
RUNEETH,0.00119910,0.00120160,189.44,Trading
AVAXETH,0.00576000,0.00578000,182.88,Trading
MATICBTC,0.00001856,0.00001857,177.98,Trading
ATOMETH,0.00389400,0.00389800,172.75,Trading
DOTETH,0.00235900,0.00236100,171.30,Trading
RAYBNB,0.00080600,0.00081800,168.30,Trading
AXSETH,0.00259700,0.00259900,157.20,Trading
MBOXBNB,0.00100300,0.00101400,153.69,Trading
ADXETH,0.00008060,0.00008100,153.39,Trading
ONEBNB,0.00004847,0.00004874,152.94,Trading
STEEMETH,0.00014400,0.00014530,151.58,Trading
ANTBNB,0.02244000,0.02247000,149.26,Trading
XVGETH,0.00000218,0.00000220,144.66,Trading
EDUBNB,0.00198100,0.00199780,139.71,Trading
WAVESETH,0.00099300,0.00099600,136.56,Trading
FTMETH,0.00012480,0.00012500,136.16,Trading
FLOWBTC,0.00001519,0.00001521,131.93,Trading
APEBNB,0.00536900,0.00540100,131.83,Trading
LOKABNB,0.00090830,0.00091630,129.18,Trading
APTETH,0.00348200,0.00349700,128.11,Trading
ADABTC,0.00000821,0.00000822,126.70,Trading
SANDBNB,0.00143100,0.00143500,126.00,Trading
CYBERBNB,0.02074900,0.02086600,125.14,Trading
AXSBNB,0.02045000,0.02050000,117.13,Trading
